"","CSA.FC12_VMT","CSA.FC3_VMT","CSA.FC4_VMT","CSA.FC56_VMT","CSA.EmpSer_SQ","CSA.ActEnt","CSA..Intercept."
"1",0.000497998282999176,0.000877955145922716,-0.0160858729892769,-0.0015086204066645,-0.00038683213228295,-0.0121675541081718,-0.0948292023274239
"2",0.00139779987898361,0.0217139022749179,0.000422979538027092,0.00235962835983059,0.00125967374215997,0.0191088249921404,0.292384702586496
"4",-0.00127012124594037,0.014483394989557,0.0469168268147217,0.0158145630446348,0.00299073008994872,-0.0158940620960032,0.0888404839802107
"5",-0.0004305797296706,0.000346306768914266,-0.00358373654069432,0.00144157032408364,0.000456277328740832,-0.00987709354551599,-0.131176431984327
"6",0.00500986621059686,0.0231861356689519,0.0255139031723325,0.00458772842390657,-0.000756632202242843,0.0329808703808423,0.439600499396053
"8",-0.000815390910578232,-0.00110299763413071,0.0129423769520053,0.000138111201323951,0.00102734842662328,0.00434582320307019,0.0739869511369658
"10",-2.62379863040964e-05,0.000728570332687205,0.000251493490932018,-0.000687314390188765,-5.01129773057937e-05,-0.00522890359256642,-0.117689346883504
"12",-0.00503045543526097,0.00379826126788934,0.0316987455973718,0.000649263946618878,0.00307856341849012,0.0148578735983685,0.549965145909628
"13",0.000506999697337947,0.010507574858502,-0.0103306683584717,-0.000466503237689717,-0.000606012072158248,-0.00297501685604251,-0.041808545378957
"15",0.00109018415105505,-0.0250124690841531,-0.0182555651041398,0.000390469617501644,-0.00186457357415892,0.0152305233035864,0.122505144926711
"16",-7.10004773627078e-05,-0.00269521805852899,-0.00235287766107131,0.000195197109942288,-0.000172089412610215,-0.00501037899619281,-0.0195086360664533
"17",0.000300218423876664,-0.00743490025830703,-0.00234939094271445,9.11916428080929e-05,-8.89522682615136e-05,0.000968485389700416,-0.0842286454448062
"18",-2.15513417850098e-05,-0.0217767579832574,-0.00777653525696755,-0.000462601102366467,-0.000655757978374848,-7.70875038015223e-05,-0.204430750290572
"19",-8.37752103152648e-05,-0.00667297134351887,-0.0114600981187987,-0.000465970299923269,-0.000682654387597433,-0.0159207375501012,-0.274818662073525
"20",-0.000104362439649199,-0.00541386653802894,-0.00439248737110321,-0.000432577502382758,-0.000212769613474961,-0.000328769035713506,-0.136818368178561
"21",-4.53785314363826e-05,-0.00411018773232161,-0.00297511973271803,-4.26789838654623e-05,-3.06611752340702e-07,-0.0082898857259041,-0.148912034980241
"22",-0.000641109715931025,-0.00986168484077197,0.000261408944640313,0.00127870270666729,7.3103348868201e-05,-0.00445703843817752,0.10664237743441
"23",-9.97211009357992e-05,0.00737285995011968,0.00813477999330795,-0.000185864581798269,0.00142314797605166,0.00027449900437328,0.016749583069697
"24",-0.000114671559699902,0.0169612926603178,-0.00458025962651929,-0.000348825215321967,-0.000201403348123129,-0.00102353787937789,-0.0723158681764124
"25",0,0.0144502286502471,0.00582112643894671,0.00126237825456103,0.00173078407174121,0.0100294964168787,0.113941172611376
"26",-7.69732358695978e-05,0.00805951655673507,0.00357376351133197,0.00136866859434137,0.000801788312996084,-0.000651337303407633,-0.136735348867931
"27",-0.000343218531306449,-0.003544885566655,0.00433235566059416,-0.000852301053108101,0.00363216694282204,-0.00659847344137615,-0.121404118875845
"28",0.000568261633490544,-0.00600126896054498,-0.00360393949436377,0.000320259565903037,-0.000435031494354497,-0.0104538106776064,-0.0350573846046971
"29",-5.64223243828099e-05,0.00139949279837134,-0.000140626218352231,-9.45472204628063e-05,0.000194328682202536,-0.0025379404645564,-0.0729065621763479
"30",-3.18118744145373e-05,0.00523893599577353,-0.00828761566615961,-0.000441478375897207,-0.000524147802785414,-0.00613739257534727,-0.0531257965899255
"31",6.69098981333566e-05,-0.0023992959101815,-0.00319035618137174,-0.000494644459598143,0.000117101226823719,-0.00472247834161356,-0.0752384889043775
"32",-1.98357013164896e-05,-0.000832949448460261,0.000251188257041844,-6.7246337702392e-05,-5.92263790629791e-05,-0.000147382233704473,-0.00186452703866542
"33",0,0.000184166018534645,-0.000848777433401938,-1.25781705783972e-05,-4.18172128332302e-05,-0.000103619411664532,-0.0057599325259634
"35",7.00145402677199e-05,0.00388608766938829,-0.000479477586721395,0.000182899948401913,0.00013025978229943,0.00630326796767529,0.0563286457626655
"36",0.00042584939794948,-0.00469351829761891,-0.000387852033834495,-0.000574324618417831,-0.00144224220720775,-0.0068114964871402,-0.117845150406901
"37",-5.50601245771683e-05,0.00645490954736764,0.00514892029310197,0.00215692152621444,0.000529492943977661,0.00741789828932006,0.152899205076028
"38",-8.0372878778925e-05,-0.00967348527320948,-0.00447830286594993,-0.000958081465992378,-0.000621000224208845,-0.0103845351410515,-0.188939054762483
"39",-9.52003880809257e-05,0.00309258240823631,-0.00029594582361975,0.00015881831143923,-0.0001001564142571,0.0032206833230934,0.0424794407934309
"40",2.09283209553389e-06,0.000467893621008633,0.00522355046995612,-0.000789654713486219,-0.000375456811791442,-0.00115543652715277,0.0288856106703159
"41",-0.000184156183413499,0.00624298666854217,-0.00836289239656969,0.000546172333479433,-0.000427037280207672,0.0081232354037417,0.183478468097927
"42",-0.000494750698351608,-0.00861836480384855,0.00149621848446696,0.000926606583518482,0.0014740140759616,-0.00119386355692904,0.117484794540745
"45",-0.000813004601763818,0.00335294272721438,0.0225310626959562,0.0026601805942266,0.000236325564394003,0.00488166190346186,0.158857514535969
"46",-0.000234334150960314,-0.00520807265522228,-0.00865855822534317,-0.0013475232905842,-0.00074306013808453,-0.00819826974284816,-0.165066542645877
"47",0.000237003852161377,0.00928696025703321,-0.00480221561952883,-0.000523064320607838,-0.000194444514100476,0.000176082390146941,0.0644769759359011
"48",0.00522153622076281,0.0406831264850131,0.0363408011641784,0.00913406153107188,0.00241354438830131,0.0037982410111378,0.0844692577340776
