"","CSA.FC12_VMT","CSA.FC3_VMT","CSA.FC4_VMT","CSA.EmpOff_SQ","CSA.EmpInd_SQ","CSA.EmpSer_SQ","CSA.ActEnt","CSA..Intercept."
"1",0.000117796808022336,0.00292997194119024,0.0142711069157814,-0.00341579227034504,0.00033794802931983,-0.0137648213053322,-0.012970392971586,0.0579673947838444
"2",6.25639441558473e-05,-0.00112210567351752,0.00450173555890292,0.00389273286394582,-3.04672244290306e-05,4.60208795405472e-05,-0.0114817940804959,-0.447675605521227
"4",-0.0026363880339263,0.000787332499531554,-0.0677560369833342,0.0189162909891223,0.00221796225423029,0.0085222038516876,0.00722153224388934,0.0461279442121045
"5",0.000568789722147111,-0.00225075713426048,-0.0113465441682596,-0.00849404472337399,-0.00627169757425581,-0.0283984750306958,-0.0149744430734637,0.00194824249571599
"6",-0.00435379505887812,0.00428031860568675,0.0651598587783348,-0.00423056707986631,0.0092606804646403,0.00367381776778409,0.00574598035171354,0.399929011354642
"8",-0.000638904453741502,-0.00318261718323337,-0.0286227080401265,-0.0107325507929535,-0.00362170749114873,-0.0225866054377974,-0.00504230697247157,-0.202997363247324
"10",0.000156773811302296,0.00285688094613763,-0.00246812913313333,0.00450281540341174,-0.000599745742637814,-0.00203189299823684,0.00443884785463784,0.313617210164651
"12",-0.00810103938288081,0.00151733384953331,0.0407134935861293,-0.00205230644495298,0.00551069584407902,0.0292721335963723,0.014389375251468,0.39541657061698
"13",-0.00294641508535028,0.00454883718105465,0.0241523929006892,0.0134996616720099,0.00440471066475553,0.0251163870964481,0.00594152049481065,-0.00982328967319352
"15",-0.00673462627913911,0.0123099662707274,0.0165331826280751,0.00714485118660882,0.00513622467156392,0.00438971557628313,0.0128736736269327,0.25716841972843
"16",-0.000232668727798826,-0.000374749985841604,-0.00511187416715515,-0.0029539364643343,-0.00180035297213016,-0.00857181942015266,-0.00259461330210765,-0.136318097114086
"17",-0.000227964927843478,0.00253531219500426,-0.0118989084459682,0.00973436285575323,0.00302767548342045,0.0247836298108769,0.00476992728428058,0.0285443672752966
"18",0.000214196201464494,-0.00181434221257462,-0.0275539076111285,-0.00843868252912653,-0.00687033697911317,-0.023383630733808,-0.0134565199413037,-0.237846915908092
"19",-4.89018298099091e-05,-0.0032253153099562,-0.0250145375037863,-0.00157692067853758,-0.00283848198793495,-0.0127110446415478,-0.00983643208748704,-0.431453981664392
"20",0.00102421890530442,-0.000404568870955125,-0.00199787205746587,0.00793866397640561,0.00174944947239028,0.00660415491820089,-0.00360787484281481,-0.114424702946583
"21",-0.000949973740673854,-0.000160945673479537,0.0355966937140279,-0.00217467228922298,0.00327463079356207,0.0121833211919511,0.00406657618514056,-0.078511565612505
"22",0.00345610022362975,0.00210922603275864,0.0646299520895131,-0.00244895235162029,0.016095227864084,0.00746223557789049,0.00942457563176757,0.102345772476183
"23",-0.000639655778243097,0.00126246307392347,0.00612125591574133,6.91457491812046e-07,-0.000442191668001715,0.00428716642143434,-0.0018232193876864,-0.118109018194313
"24",0.00056928179744381,0.000889582671288362,0.0134975434058185,0.00276398919088735,0.000192529191234584,0.0256653968190443,0.00177068315538639,0.0643396341315257
"25",0.000147661708519828,-2.58487581429331e-05,-0.0081920175807617,-0.00159464409642759,-0.000261824998438071,-0.00532226385089027,-0.00102805569777644,-0.0667964863598268
"26",0.00074641384623678,9.33283158751896e-05,-0.0048743476844343,-0.00757422510292542,-0.00216388777853895,-0.00672316327669872,0.00233783379688781,-0.301906687622582
"27",0.000114364131581332,-0.00025776472469918,-0.00590012392326425,-0.000470425255386853,0.0020232777899963,-0.00461899263199452,-0.0085903249309759,-0.185610561391782
"28",0.00347882303517785,0.00275268161773455,0.00966456524054812,-0.0088480280526709,-0.00201657360103998,-0.0191750706330204,-0.00584595622670034,0.0765117445150279
"29",-2.48781426984517e-05,-0.000357500518033111,-0.012294349465696,-0.00248437255953357,0.00387219508007688,0.0551284189899317,-0.000445531487977404,-0.069730552710595
"30",0.000825026602021788,-0.000773924094318124,0.00817658787615378,-0.00157481104175682,-0.000907626500491803,0.00930958245034321,-0.0038406883249629,-0.190307211179632
"31",-0.000510144870436544,-0.000682713795385779,0.00194820167625462,0.0199225581540461,0.00207848376450976,0.0343240538989205,-0.00786369428563417,-0.257917178657692
"32",1.53741564737543e-05,0.000106614810859007,-0.00195500731332095,0.000531350082783927,4.02232235971333e-05,0.000876576102222815,0.00202237996450243,0.0454819357234413
"33",-0.000408979648626733,-0.000671546132668352,-0.00503273752380594,-0.00355364484869999,-0.000475952773956177,-0.0103555061031877,-0.00579534425879976,-0.185775808177463
"35",0.00240629555090815,0.00297121690830846,0.00985650191218159,-0.003474924397219,-0.00571228387263007,-0.0133990066060842,0.0153768935454883,0.374136682219187
"36",-0.00121414617872016,0.00125043076071238,-0.0190353953800093,-0.00170901686736136,7.1434785463959e-05,-0.00443198912118344,-0.00150801422450421,-0.170772166742928
"37",-0.00136921704892518,0.00464018041644511,0.0304833838801363,-0.00148881350385804,0.000992641364348721,0.00275724003928455,-0.00105647481912357,0.0565847327819751
"38",8.34605910502409e-05,0.000731758138422559,0.00465368741917098,0.00411072302515282,0.00503562864944665,0.00343561818499759,-0.00685215425319213,-0.25207069239692
"39",0.000980746853676291,0.000541954175590379,0.00403045691296937,0.00174096468018777,0.00403842934794883,0.00255525617910933,-0.00332801485914697,-0.13128367176072
"40",0.00109526209494068,-0.00199616147028232,-0.00795118953607617,-0.00393418891603732,0.00497290563234634,-0.0141866985197948,0.000740736752209343,-0.0665253544954719
"41",0.00355799223999883,-0.000133584001755786,0.0720225886540317,0.00785419741636645,0.00159568786909221,0.0394229621669051,0.00306559403726573,0.245775715462041
"42",0.002112777332634,-0.00215118960147378,0.0680987276047722,0.0114482115664042,0.0062716484772631,0.00779816129063033,0.00400024302765184,0.0276017286619426
"45",0.00246151899726359,0.00527388925104838,0.010204052001689,0.00938614038736145,0.00178070655418252,0.0184842397037062,0.0154105124076272,0.458258578856616
"46",-0.000228842657328344,-9.96108678952872e-05,-0.0228013585437215,-0.00859810970793906,-0.00151837094711669,-0.0134010665548139,-0.00763733454218678,-0.160059574679803
"47",-0.00123925065354578,-0.000109000064921625,0.0509878015670299,0.016283823771078,0.00118905125691564,0.0287027461469953,-0.000623102606398436,-0.274929514993903
"48",0.00798314880792517,-0.000235803839059294,-0.0241834247014909,-0.00527075722103309,-0.0032767514753747,0.00683320955971088,-0.0114306071790847,0.317262113899464
"49",-0.000383364982098316,-0.000336030731990461,-0.00935593223100895,-0.00245871583246101,-0.0011429816407835,-0.00458016996067596,-0.00472830640461754,-0.349906228245606
"50",-0.00108836246825252,-0.000936121310784789,-0.00175273272767814,0.0180534806747097,-0.000750161871856853,0.00720643917326627,-0.00734413295937007,-0.187030016458886
"51",-0.00315491818283025,-0.00479554965441929,0.0245789694417349,0.0157390927885662,-0.00862802102862987,0.00480198616395197,0.0016700075482651,-0.0415286218161838
"53",-0.000377398653073153,6.22354048554969e-05,-0.0311965645201396,0.00766428195536037,0.00204843359102005,0.0112220907917556,0.00414208650601627,0.0883187699860954
"54",0.00376518795686225,-0.000226686793983008,0.0570572723792404,0.000555924581415673,0.0043856289321622,0.00806524121275017,0.00101210299647128,-0.00707624437324829
"55",-0.00119566268379876,-0.00227213673961652,-0.0258557818897933,-0.010656442513585,-0.00744173471106516,-0.0293907245975228,-0.0127231394445461,-0.364629583566296
"56",-0.000239922596636426,0.000238989985166801,-0.00896438017889644,-0.00285667117390371,-0.00107928277835664,-0.00770574435034848,-0.00792625211479176,-0.0847125200336999
"104",0.00248147808438943,-5.88048085403137e-05,-0.00979272248651362,0.000668705093889598,-0.00218678424503547,-0.00282525560605262,-0.00313631311362991,-0.250471288915213
"106",0.00337992919214686,0.000289839166877424,-0.00238931083468587,0.00626023108745807,0.00449959912789857,0.0156623985258218,0.019088933221948,-0.00272719075394147
"108",0.000474528382129671,0.000148034100528935,-0.00147917014094723,0.000472403729705834,0.00223837198582464,-0.00120063993086332,0.00592721126773739,0.291042549341053
"118",-0.00143395351565972,-0.00114762278331803,-0.0154591809642596,-0.00711105344100583,-0.00393773377148747,-0.0095899434176623,-0.0138798327123036,-0.339307278681606
"120",0.00147754986384442,-0.00204181324314351,0.00754171834603295,-0.00136310617340717,-0.000478505921657034,-0.008405214546935,0.00485415879717709,-0.021915197379553
"122",0.00560524878811844,-0.000486872409483671,0.0480792076215126,0.00592999144157213,0.00504849381400185,0.0443814098159537,0.01405708662339,0.0515304019944838
"140",0,0.000104679287763335,-0.00452428639960677,0.000253349315761799,6.27874870961865e-07,-0.000819633112998163,-0.00333920136112553,-0.154811271667099
"142",0.000243741108028846,-0.00563512742394127,0.0132023830665867,0.000510899782346275,-0.000923814424733767,-0.00155077188529711,0.0062269995387322,0.0571702195507661
"144",-0.000114965021457352,0.000749823319648419,-0.00622831739398602,0.00250854717499241,0.00113719865953867,-0.00248309455942576,0.00203932945633299,0.0451519482365721
"145",-0.00017876459701927,-4.12124489678638e-05,-0.000425011989588408,-0.00107427360254109,-0.000232916069514847,-0.00143101419434164,-0.000721224945501941,-0.0446772540284951
"146",-0.000991339986259897,-0.00173473219352741,0.00133839458061105,-0.00237534445603705,-0.00018362654601057,-0.00153105282577578,-0.00100230105383277,0.0351846855127928
"147",0.000225021251329632,-0.00159442636028948,-0.00747423575633916,-0.000119175745049882,0.00281462253778838,-0.00796772978906767,-0.00637335601500205,-0.350815056806721
