"","x"
"1",0.189324794779042
"2",0.189449812102012
"3",0.245829565455652
"4",0.43185964483055
"5",0.256638532374639
"6",0.349291168750175
"7",0.732829889117182
"8",0.820750897828578
"9",0.463109275562542
"10",0.454215314020654
"11",0.774300017959328
"12",1.72577660356011
"13",0.161531139281311
"14",0.52730876429115
"15",0.524257814550723
"16",0.319263791020241
"17",0.119736129564921
"18",0.341306813707881
"19",0.578782714793811
"20",0.256798152191054
"21",0.545975358609129
"22",1.13046572666436
"23",0.460914566259512
"24",0.171701651997101
"25",0.520401973806739
"26",0.397358564988
"27",0.449926750791223
"28",0.305574553876523
"29",0.354948515751809
"30",0.387627337424822
"31",1.20816387195536
"32",0.285227728552578
"33",0.108090001394092
"34",0.272636732370781
"35",0.05621685313096
"36",0.345187781923512
"37",0.297294726451328
"38",0.39312053224896
"39",0.371347682224355
"40",0.899082687294309
"41",0.623384296775775
"42",1.09908228448531
"43",0.608482078337017
"44",0.629798370735189
"45",0.460653930961629
"46",0.111070054513386
"47",0.271826236139576
"48",0.463321807917765
"49",0.29486460059074
"50",0.644221288001496
"51",0.208759310798881
"52",0.506503019979325
"53",0.158586767964316
"54",0.335472576072698
"55",0.159378616626405
"56",0.12412461787614
"57",0.29763744722591
"58",0.514175997418739
"59",0.36246661440272
"60",0.0849949072243668
"61",0.382113289668185
"62",0.611514802800874
"63",0.524366682906807
"64",0.510409580214278
"65",0.510261112698186
"66",0.697169420270745
"67",0.375908113183204
"68",0.554342457153202
"69",0.512582179499902
"70",0.505063283851279
"71",0.794674833879832
"72",0.623811734286494
"73",0.656898350167938
"74",0.357929649507239
"75",0.394448594863123
"76",0.887583278048565
"77",0.295419262855477
"78",0.682074969839966
"79",0.623714548829587
"80",0.434572774141906
"81",0.331186936049582
"82",0.745465216624221
"83",0.554114900093949
"84",0.608499523134938
"85",0.752727743109217
"86",0.381139225242586
"87",0.992723622372478
"88",0.714422908226072
"89",0.877270753159501
"90",0.473711242678113
"91",0.47942353690153
"92",0.410084210415362
"93",0.631920708334589
"94",0.255812805686703
"95",0.196015804045728
"96",0.329401747363137
"97",0.532489228709229
"98",0.129593168979337
"99",0.191715213262441
"100",0.96681084008457
"101",1.03505797208863
"102",0.643047648072332
"103",0.306909130065404
"104",0.447033931631686
"105",0.431868915131322
"106",0.439934250589588
"107",0.139857955760004
"108",0.366159157404938
"109",0.22722749317362
"110",0.1991194044155
"111",0.470334662835287
"112",0.434968838702861
"113",0.283241756897564
"114",0.616317572928315
"115",0.498572513263048
"116",0.672685843149348
"117",0.617462996403325
"118",0.141929763887281
"119",0.0836971166687642
"120",0.160826488152988
"121",0.209056338337374
"122",0.0797486719627963
"123",0.31388820811758
"124",0.335110285888509
"125",0.379221813812764
"126",0.347448054970714
"127",0.429242599626164
"128",0.216194150017677
"129",0.581195072344713
"130",0.274911286399072
"131",0.300684918160722
"132",0.376749497991064
"133",0.406980470263039
"134",0.529924488288703
"135",0.49984804200426
"136",0.134891130432786
"137",0.386202859557233
"138",0.16062323138278
"139",0.383404043206056
"140",0.325578509300119
"141",0.23510563777545
"142",0.445618791601659
"143",0.582083336852189
"144",0.282030095458019
"145",0.223395605910996
"146",0.269416425316987
"147",0.257360820549481
"148",0.1456498843314
"149",0.718184339167405
"150",0.197104963685297
"151",0.15190372498065
"152",0.175397990916092
"153",0.479087563346292
"154",0.306307878519268
"155",0.111723250417098
"156",0.537065419083197
"157",0.144615581864409
"158",0.0907796212906471
"159",0.195974831514323
"160",0.0655268076232227
"161",0.211484785051939
"162",0.483780357923574
"163",0.334386558034292
"164",0.347463719516083
"165",0.37166514170436
"166",0.223362906247371
"167",0.282826841322427
"168",0.113461581698622
"169",0.430975715499524
"170",0.395043704314886
"171",0.666555047715077
"172",0.361768073189278
"173",0.30990695764721
"174",0.270340898881792
"175",0.797966926069759
"176",0.504614458185769
"177",0.678658356567234
"178",0.137902709334398
"179",0.22604839749761
"180",0.40662068915494
"181",0.403954137646413
"182",0.39555997209686
"183",0.538042853375508
"184",0.281409700210072
"185",0.146942135914203
"186",0.279969630052779
"187",0.210412978868514
"188",0.276523987287265
"189",0.312291733904047
"190",0.564498214613629
"191",0.439792699852213
"192",0.184438936137718
"193",0.497897761136977
"194",0.333550118506069
"195",0.101820980407666
"196",0.19289873928532
"197",0.197220072379002
"198",0.412172749320913
"199",0.433013473231957
"200",0.489859018205274
"201",0.396429777098329
"202",0.277687098278491
"203",0.687945724772012
"204",0.431460856028889
"205",0.243600122610181
"206",0.521222024743908
"207",0.287747471214191
"208",0.247882800740831
"209",0.166009136136086
"210",0.0724189122414608
"211",0.411469208385288
"212",0.169118305499233
"213",0.402519845041954
"214",0.0744890113710561
"215",0.199398087832419
"216",0.396459367920161
"217",0.181841898187903
"218",0.150766883857993
"219",0.144543532220233
"220",0.213913743080566
"221",0.40362172142592
"222",0.549894982406053
"223",0.499543051317555
"224",0.32242143980239
"225",0.240860590802266
"226",0.619089368253933
"227",0.379097434467976
"228",0.188726146261312
"229",0.474373980912023
"230",0.446928542547795
"231",0.170760166753198
"232",0.291113360293623
"233",0.157274319014975
"234",0.211207405903367
"235",0.367945413662806
"236",0.337383119004623
"237",0.523925615193317
"238",0.777853161147962
"239",0.554790645265565
"240",0.231137631049155
"241",0.298917041510446
"242",0.189270344500616
"243",0.211169189998727
"244",0.236163260234946
"245",0.367281554812437
"246",0.368324552437892
"247",0.577478348108482
"248",0.372825658234333
"249",0.105328573139112
"250",0.489025661580388
"251",0.184655485558727
"252",0.436717498968632
"253",0.400269958467497
"254",0.393991169311492
"255",0.239738288026006
"256",0.287897520356073
"257",0.322993271029185
"258",0.306502020653073
"259",0.173204049939533
"260",0.477749312560072
"261",0.524223801429731
"262",0.388333499460588
"263",0.0476119918580521
"264",0.207141592791556
"265",0.763262086263471
"266",0.46062020078476
"267",0.389912606179097
"268",0.189329046188687
"269",1.25885944751668
"270",0.555022289576312
"271",0.09522741569888
"272",0.108809116524492
"273",0.151476012946761
"274",0.109944214942227
"275",0.173720093459307
"276",0.633285828803544
"277",0.378122414248261
"278",0.316333041549314
"279",0.216656184831506
"280",0.71805285457374
"281",0.317181453292648
"282",0.254667322462674
"283",0.203139458646702
"284",0.102282786208816
"285",0.078659274025514
"286",0.370060521992693
"287",0.237101244267478
"288",0.119253747010022
"289",0.0686271923991719
"290",0.22713323996369
"291",0.10893405637599
"292",0.508771476916155
"293",0.498476025295746
"294",0.63418128930917
"295",0.442887296393734
"296",0.224795269326479
"297",1.10695000647036
"298",0.132029119696843
"299",0.142799051054075
"300",0.770707612823044
"301",0.192622915373914
"302",0.145831560464815
"303",0.109781554411751
"304",0.209119148859018
"305",0.361462579893673
"306",0.331556028943811
"307",0.527590143510038
"308",0.596286767001361
"309",0.426214547424394
"310",0.0767612491690615
"311",0.301555462303719
"312",0.588974167779823
"313",0.370420473576345
"314",0.47107424912715
"315",0.396912662946988
"316",0.346611933349181
"317",0.205193693402381
"318",0.400343294401363
"319",0.496370348734058
"320",0.242660595827732
"321",0.44150176026004
"322",0.214890842501386
"323",0.258195389568113
"324",0.382609463793746
"325",0.440508938545196
"326",0.28650078848846
"327",0.194706282104027
"328",0.175917425116186
"329",0.275774983457834
"330",0.710581405464032
"331",0.467961708004637
"332",0.401543699338247
"333",0.436631882050806
"334",0.636939982774831
"335",0.288936528344507
"336",0.267132816408355
"337",0.894653057782469
"338",1.2286972524702
"339",0.591594744960924
"340",0.650565474669096
"341",0.73830180897867
"342",0.371630227017901
"343",0.287337810857928
"344",0.60673863527698
"345",0.649577391010289
"346",0.576903911099095
"347",0.322747210893636
"348",0.301622457287889
"349",0.936647871521546
"350",0.245896030963308
"351",0.140741887981634
"352",0.580114058200836
"353",0.732695864286893
"354",0.614149518995914
"355",0.289222406728856
"356",0.210425366755385
"357",0.250829313589349
